,displayname,domain,params,path,tagname
id_431,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_432,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_433,AOL ADTECH;cors=yes;cmd=bid;alias=4cc527fbee1982;grp=450;misc=1465519004479,adtechus.com,cors=yes;cmd=bid;alias=4cc527fbee1982;grp=450;misc=1465519004479,/pubapi/3.0/10064.1/3942657/0/0/ADTECH,AOL
id_434,AOL ADTECH;cors=yes;cmd=bid;alias=5abe8284b0b3be;grp=450;misc=1465519004491,adtechus.com,cors=yes;cmd=bid;alias=5abe8284b0b3be;grp=450;misc=1465519004491,/pubapi/3.0/10064.1/3942675/0/0/ADTECH,AOL
id_435,AOL ADTECH;cors=yes;cmd=bid;alias=600764dbb89812;grp=450;misc=1465519004497,adtechus.com,cors=yes;cmd=bid;alias=600764dbb89812;grp=450;misc=1465519004497,/pubapi/3.0/10064.1/3942659/0/0/ADTECH,AOL
id_436,AOL ADTECH;cors=yes;cmd=bid;alias=72be0591fe65d1;grp=450;misc=1465519004503,adtechus.com,cors=yes;cmd=bid;alias=72be0591fe65d1;grp=450;misc=1465519004503,/pubapi/3.0/10064.1/3942661/0/0/ADTECH,AOL
id_437,AOL ADTECH;cors=yes;cmd=bid;alias=80ef46596de135;grp=450;misc=1465519004509,adtechus.com,cors=yes;cmd=bid;alias=80ef46596de135;grp=450;misc=1465519004509,/pubapi/3.0/10064.1/3942663/0/0/ADTECH,AOL
id_438,AOL ADTECH;cors=yes;cmd=bid;alias=971ef709275d3d;grp=450;misc=1465519004514,adtechus.com,cors=yes;cmd=bid;alias=971ef709275d3d;grp=450;misc=1465519004514,/pubapi/3.0/10064.1/3942665/0/0/ADTECH,AOL
id_439,AOL ADTECH;cors=yes;cmd=bid;alias=10967054c3f4d3d;grp=450;misc=1465519004519,adtechus.com,cors=yes;cmd=bid;alias=10967054c3f4d3d;grp=450;misc=1465519004519,/pubapi/3.0/10064.1/3942667/0/0/ADTECH,AOL
id_44,AOL ADTECH;cors=yes;cmd=bid;alias=221e4d85686bc87;grp=632;misc=1465518873060,adtechus.com,cors=yes;cmd=bid;alias=221e4d85686bc87;grp=632;misc=1465518873060,/pubapi/3.0/10064.1/3942671/0/0/ADTECH,AOL
